"STATISTIC Label","Year","Sex","Nationality","UNIT","VALUE"
"Estimated Emigration (Persons in April)","2022","Both sexes","All nationalities","Thousand","59.6"
"Estimated Emigration (Persons in April)","2022","Male","Irish","Thousand","15.2"
"Estimated Emigration (Persons in April)","2022","Male","UK (1)","Thousand","3.3"
"Estimated Emigration (Persons in April)","2022","Male","EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland)","Thousand","3.2"
"Estimated Emigration (Persons in April)","2022","Male","EU15 to EU27 (accession countries joined post 2004)","Thousand","2.8"
"Estimated Emigration (Persons in April)","2022","Male","Other nationalities(17)","Thousand","9.6"
"Estimated Emigration (Persons in April)","2022","Male","All nationalities","Thousand","34"
"Estimated Emigration (Persons in April)","2022","Female","Irish","Thousand","12.4"
"Estimated Emigration (Persons in April)","2022","Female","UK (1)","Thousand","0.8"
"Estimated Emigration (Persons in April)","2022","Female","EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland)","Thousand","1.6"
"Estimated Emigration (Persons in April)","2022","Female","EU15 to EU27 (accession countries joined post 2004)","Thousand","1.8"
"Estimated Emigration (Persons in April)","2022","Female","Other nationalities(17)","Thousand","9"
"Estimated Emigration (Persons in April)","2022","Female","All nationalities","Thousand","25.6"
