"STATISTIC Label","Year","Principal Economic Status","Sex","Inward or Outward Flow","UNIT","VALUE"
"Estimated Migration Aged 15 Years and Over (Persons in April)","2014","Persons at work","Both sexes","Immigrants: All origins","Thousand","25.6"
"Estimated Migration Aged 15 Years and Over (Persons in April)","2014","Persons at work","Male","Net migration","Thousand","1.4"
"Estimated Migration Aged 15 Years and Over (Persons in April)","2014","Persons at work","Male","Emigrants: All destinations","Thousand","12.3"
"Estimated Migration Aged 15 Years and Over (Persons in April)","2014","Persons at work","Male","Immigrants: All origins","Thousand","13.7"
"Estimated Migration Aged 15 Years and Over (Persons in April)","2014","Persons at work","Female","Net migration","Thousand","-0.5"
"Estimated Migration Aged 15 Years and Over (Persons in April)","2014","Persons at work","Female","Emigrants: All destinations","Thousand","12.3"
"Estimated Migration Aged 15 Years and Over (Persons in April)","2014","Persons at work","Female","Immigrants: All origins","Thousand","11.9"
"Estimated Migration Aged 15 Years and Over (Persons in April)","2014","All unemployed persons","Both sexes","Net migration","Thousand","-2.8"
"Estimated Migration Aged 15 Years and Over (Persons in April)","2014","All unemployed persons","Both sexes","Emigrants: All destinations","Thousand","10.5"
"Estimated Migration Aged 15 Years and Over (Persons in April)","2014","All unemployed persons","Both sexes","Immigrants: All origins","Thousand","7.7"
"Estimated Migration Aged 15 Years and Over (Persons in April)","2014","All unemployed persons","Male","Net migration","Thousand","-3.5"
"Estimated Migration Aged 15 Years and Over (Persons in April)","2014","All unemployed persons","Male","Emigrants: All destinations","Thousand","6.8"
"Estimated Migration Aged 15 Years and Over (Persons in April)","2014","All unemployed persons","Male","Immigrants: All origins","Thousand","3.3"
"Estimated Migration Aged 15 Years and Over (Persons in April)","2014","All unemployed persons","Female","Net migration","Thousand","0.7"
"Estimated Migration Aged 15 Years and Over (Persons in April)","2014","All unemployed persons","Female","Emigrants: All destinations","Thousand","3.7"
"Estimated Migration Aged 15 Years and Over (Persons in April)","2014","All unemployed persons","Female","Immigrants: All origins","Thousand","4.4"
"Estimated Migration Aged 15 Years and Over (Persons in April)","2014","Student or pupil","Both sexes","Net migration","Thousand","-6.4"
"Estimated Migration Aged 15 Years and Over (Persons in April)","2014","Student or pupil","Both sexes","Emigrants: All destinations","Thousand","24.8"
"Estimated Migration Aged 15 Years and Over (Persons in April)","2014","Student or pupil","Both sexes","Immigrants: All origins","Thousand","18.4"
"Estimated Migration Aged 15 Years and Over (Persons in April)","2014","Student or pupil","Male","Net migration","Thousand","-3.1"
"Estimated Migration Aged 15 Years and Over (Persons in April)","2014","Student or pupil","Male","Emigrants: All destinations","Thousand","12.7"
"Estimated Migration Aged 15 Years and Over (Persons in April)","2014","Student or pupil","Male","Immigrants: All origins","Thousand","9.5"
"Estimated Migration Aged 15 Years and Over (Persons in April)","2014","Student or pupil","Female","Net migration","Thousand","-3.3"
"Estimated Migration Aged 15 Years and Over (Persons in April)","2014","Student or pupil","Female","Emigrants: All destinations","Thousand","12.1"
"Estimated Migration Aged 15 Years and Over (Persons in April)","2014","Student or pupil","Female","Immigrants: All origins","Thousand","8.8"
"Estimated Migration Aged 15 Years and Over (Persons in April)","2014","Other economic status","Both sexes","Net migration","Thousand","3.5"
"Estimated Migration Aged 15 Years and Over (Persons in April)","2014","Other economic status","Both sexes","Emigrants: All destinations","Thousand","4.9"
"Estimated Migration Aged 15 Years and Over (Persons in April)","2014","Other economic status","Both sexes","Immigrants: All origins","Thousand","8.3"
"Estimated Migration Aged 15 Years and Over (Persons in April)","2014","Other economic status","Male","Net migration","Thousand","-0.4"
"Estimated Migration Aged 15 Years and Over (Persons in April)","2014","Other economic status","Male","Emigrants: All destinations","Thousand","2.1"
"Estimated Migration Aged 15 Years and Over (Persons in April)","2014","Other economic status","Male","Immigrants: All origins","Thousand","1.7"
"Estimated Migration Aged 15 Years and Over (Persons in April)","2014","Other economic status","Female","Net migration","Thousand","3.8"
"Estimated Migration Aged 15 Years and Over (Persons in April)","2014","Other economic status","Female","Emigrants: All destinations","Thousand","2.8"
"Estimated Migration Aged 15 Years and Over (Persons in April)","2014","Other economic status","Female","Immigrants: All origins","Thousand","6.6"
"Estimated Migration Aged 15 Years and Over (Persons in April)","2015","All persons","Both sexes","Net migration","Thousand","7.5"
"Estimated Migration Aged 15 Years and Over (Persons in April)","2015","All persons","Both sexes","Emigrants: All destinations","Thousand","58.6"
"Estimated Migration Aged 15 Years and Over (Persons in April)","2015","All persons","Both sexes","Immigrants: All origins","Thousand","66.1"
"Estimated Migration Aged 15 Years and Over (Persons in April)","2015","All persons","Male","Net migration","Thousand","0.7"
"Estimated Migration Aged 15 Years and Over (Persons in April)","2015","All persons","Male","Emigrants: All destinations","Thousand","29.9"
"Estimated Migration Aged 15 Years and Over (Persons in April)","2015","All persons","Male","Immigrants: All origins","Thousand","30.6"
"Estimated Migration Aged 15 Years and Over (Persons in April)","2015","All persons","Female","Net migration","Thousand","6.8"
"Estimated Migration Aged 15 Years and Over (Persons in April)","2015","All persons","Female","Emigrants: All destinations","Thousand","28.7"
"Estimated Migration Aged 15 Years and Over (Persons in April)","2015","All persons","Female","Immigrants: All origins","Thousand","35.5"
"Estimated Migration Aged 15 Years and Over (Persons in April)","2015","Persons at work","Both sexes","Net migration","Thousand","3.9"
"Estimated Migration Aged 15 Years and Over (Persons in April)","2015","Persons at work","Both sexes","Emigrants: All destinations","Thousand","28.1"
"Estimated Migration Aged 15 Years and Over (Persons in April)","2015","Persons at work","Both sexes","Immigrants: All origins","Thousand","32"
"Estimated Migration Aged 15 Years and Over (Persons in April)","2015","Persons at work","Male","Net migration","Thousand","0"
"Estimated Migration Aged 15 Years and Over (Persons in April)","2015","Persons at work","Male","Emigrants: All destinations","Thousand","16"
"Estimated Migration Aged 15 Years and Over (Persons in April)","2015","Persons at work","Male","Immigrants: All origins","Thousand","16.1"
"Estimated Migration Aged 15 Years and Over (Persons in April)","2015","Persons at work","Female","Net migration","Thousand","3.9"
"Estimated Migration Aged 15 Years and Over (Persons in April)","2015","Persons at work","Female","Emigrants: All destinations","Thousand","12.1"
"Estimated Migration Aged 15 Years and Over (Persons in April)","2015","Persons at work","Female","Immigrants: All origins","Thousand","16"
"Estimated Migration Aged 15 Years and Over (Persons in April)","2015","All unemployed persons","Both sexes","Net migration","Thousand","-1.1"
"Estimated Migration Aged 15 Years and Over (Persons in April)","2015","All unemployed persons","Both sexes","Emigrants: All destinations","Thousand","8"
"Estimated Migration Aged 15 Years and Over (Persons in April)","2015","All unemployed persons","Both sexes","Immigrants: All origins","Thousand","6.8"
"Estimated Migration Aged 15 Years and Over (Persons in April)","2015","All unemployed persons","Male","Net migration","Thousand","-0.8"
"Estimated Migration Aged 15 Years and Over (Persons in April)","2015","All unemployed persons","Male","Emigrants: All destinations","Thousand","5"
"Estimated Migration Aged 15 Years and Over (Persons in April)","2015","All unemployed persons","Male","Immigrants: All origins","Thousand","4.2"
"Estimated Migration Aged 15 Years and Over (Persons in April)","2015","All unemployed persons","Female","Net migration","Thousand","-0.3"
"Estimated Migration Aged 15 Years and Over (Persons in April)","2015","All unemployed persons","Female","Emigrants: All destinations","Thousand","2.9"
"Estimated Migration Aged 15 Years and Over (Persons in April)","2015","All unemployed persons","Female","Immigrants: All origins","Thousand","2.6"
"Estimated Migration Aged 15 Years and Over (Persons in April)","2015","Student or pupil","Both sexes","Net migration","Thousand","-0.2"
"Estimated Migration Aged 15 Years and Over (Persons in April)","2015","Student or pupil","Both sexes","Emigrants: All destinations","Thousand","17.5"
"Estimated Migration Aged 15 Years and Over (Persons in April)","2015","Student or pupil","Both sexes","Immigrants: All origins","Thousand","17.3"
"Estimated Migration Aged 15 Years and Over (Persons in April)","2015","Student or pupil","Male","Net migration","Thousand","0.6"
"Estimated Migration Aged 15 Years and Over (Persons in April)","2015","Student or pupil","Male","Emigrants: All destinations","Thousand","7.8"
"Estimated Migration Aged 15 Years and Over (Persons in April)","2015","Student or pupil","Male","Immigrants: All origins","Thousand","8.4"
"Estimated Migration Aged 15 Years and Over (Persons in April)","2015","Student or pupil","Female","Net migration","Thousand","-0.8"
"Estimated Migration Aged 15 Years and Over (Persons in April)","2015","Student or pupil","Female","Emigrants: All destinations","Thousand","9.7"
"Estimated Migration Aged 15 Years and Over (Persons in April)","2015","Student or pupil","Female","Immigrants: All origins","Thousand","8.9"
"Estimated Migration Aged 15 Years and Over (Persons in April)","2015","Other economic status","Both sexes","Net migration","Thousand","4.9"
"Estimated Migration Aged 15 Years and Over (Persons in April)","2015","Other economic status","Both sexes","Emigrants: All destinations","Thousand","5"
"Estimated Migration Aged 15 Years and Over (Persons in April)","2015","Other economic status","Both sexes","Immigrants: All origins","Thousand","9.9"
"Estimated Migration Aged 15 Years and Over (Persons in April)","2015","Other economic status","Male","Net migration","Thousand","0.9"
"Estimated Migration Aged 15 Years and Over (Persons in April)","2015","Other economic status","Male","Emigrants: All destinations","Thousand","1"
"Estimated Migration Aged 15 Years and Over (Persons in April)","2015","Other economic status","Male","Immigrants: All origins","Thousand","1.9"
"Estimated Migration Aged 15 Years and Over (Persons in April)","2015","Other economic status","Female","Net migration","Thousand","4"
"Estimated Migration Aged 15 Years and Over (Persons in April)","2015","Other economic status","Female","Emigrants: All destinations","Thousand","4"
"Estimated Migration Aged 15 Years and Over (Persons in April)","2015","Other economic status","Female","Immigrants: All origins","Thousand","8"
"Estimated Migration Aged 15 Years and Over (Persons in April)","2016","All persons","Both sexes","Net migration","Thousand","16.5"
"Estimated Migration Aged 15 Years and Over (Persons in April)","2016","All persons","Both sexes","Emigrants: All destinations","Thousand","55.9"
"Estimated Migration Aged 15 Years and Over (Persons in April)","2016","All persons","Both sexes","Immigrants: All origins","Thousand","72.4"
"Estimated Migration Aged 15 Years and Over (Persons in April)","2016","All persons","Male","Net migration","Thousand","9.9"
"Estimated Migration Aged 15 Years and Over (Persons in April)","2016","All persons","Male","Emigrants: All destinations","Thousand","26.3"
"Estimated Migration Aged 15 Years and Over (Persons in April)","2016","All persons","Male","Immigrants: All origins","Thousand","36.2"
"Estimated Migration Aged 15 Years and Over (Persons in April)","2016","All persons","Female","Net migration","Thousand","6.6"
"Estimated Migration Aged 15 Years and Over (Persons in April)","2016","All persons","Female","Emigrants: All destinations","Thousand","29.6"
"Estimated Migration Aged 15 Years and Over (Persons in April)","2016","All persons","Female","Immigrants: All origins","Thousand","36.3"
"Estimated Migration Aged 15 Years and Over (Persons in April)","2016","Persons at work","Both sexes","Net migration","Thousand","17.6"
"Estimated Migration Aged 15 Years and Over (Persons in April)","2016","Persons at work","Both sexes","Emigrants: All destinations","Thousand","23.5"
"Estimated Migration Aged 15 Years and Over (Persons in April)","2016","Persons at work","Both sexes","Immigrants: All origins","Thousand","41.1"
"Estimated Migration Aged 15 Years and Over (Persons in April)","2016","Persons at work","Male","Net migration","Thousand","10.5"
"Estimated Migration Aged 15 Years and Over (Persons in April)","2016","Persons at work","Male","Emigrants: All destinations","Thousand","12.3"
"Estimated Migration Aged 15 Years and Over (Persons in April)","2016","Persons at work","Male","Immigrants: All origins","Thousand","22.8"
"Estimated Migration Aged 15 Years and Over (Persons in April)","2016","Persons at work","Female","Net migration","Thousand","7.1"
"Estimated Migration Aged 15 Years and Over (Persons in April)","2016","Persons at work","Female","Emigrants: All destinations","Thousand","11.2"
"Estimated Migration Aged 15 Years and Over (Persons in April)","2016","Persons at work","Female","Immigrants: All origins","Thousand","18.3"
"Estimated Migration Aged 15 Years and Over (Persons in April)","2016","All unemployed persons","Both sexes","Net migration","Thousand","4.3"
"Estimated Migration Aged 15 Years and Over (Persons in April)","2016","All unemployed persons","Both sexes","Emigrants: All destinations","Thousand","5.8"
"Estimated Migration Aged 15 Years and Over (Persons in April)","2016","All unemployed persons","Both sexes","Immigrants: All origins","Thousand","10.1"
"Estimated Migration Aged 15 Years and Over (Persons in April)","2016","All unemployed persons","Male","Net migration","Thousand","1.8"
"Estimated Migration Aged 15 Years and Over (Persons in April)","2016","All unemployed persons","Male","Emigrants: All destinations","Thousand","3.3"
"Estimated Migration Aged 15 Years and Over (Persons in April)","2016","All unemployed persons","Male","Immigrants: All origins","Thousand","5.1"
"Estimated Migration Aged 15 Years and Over (Persons in April)","2016","All unemployed persons","Female","Net migration","Thousand","2.5"
"Estimated Migration Aged 15 Years and Over (Persons in April)","2016","All unemployed persons","Female","Emigrants: All destinations","Thousand","2.5"
"Estimated Migration Aged 15 Years and Over (Persons in April)","2016","All unemployed persons","Female","Immigrants: All origins","Thousand","5"
"Estimated Migration Aged 15 Years and Over (Persons in April)","2016","Student or pupil","Both sexes","Net migration","Thousand","-6.8"
"Estimated Migration Aged 15 Years and Over (Persons in April)","2016","Student or pupil","Both sexes","Emigrants: All destinations","Thousand","19.9"
"Estimated Migration Aged 15 Years and Over (Persons in April)","2016","Student or pupil","Both sexes","Immigrants: All origins","Thousand","13.1"
"Estimated Migration Aged 15 Years and Over (Persons in April)","2016","Student or pupil","Male","Net migration","Thousand","-3.6"
"Estimated Migration Aged 15 Years and Over (Persons in April)","2016","Student or pupil","Male","Emigrants: All destinations","Thousand","9.5"
"Estimated Migration Aged 15 Years and Over (Persons in April)","2016","Student or pupil","Male","Immigrants: All origins","Thousand","5.8"
"Estimated Migration Aged 15 Years and Over (Persons in April)","2016","Student or pupil","Female","Net migration","Thousand","-3.2"
"Estimated Migration Aged 15 Years and Over (Persons in April)","2016","Student or pupil","Female","Emigrants: All destinations","Thousand","10.4"
"Estimated Migration Aged 15 Years and Over (Persons in April)","2016","Student or pupil","Female","Immigrants: All origins","Thousand","7.2"
"Estimated Migration Aged 15 Years and Over (Persons in April)","2016","Other economic status","Both sexes","Net migration","Thousand","1.5"
"Estimated Migration Aged 15 Years and Over (Persons in April)","2016","Other economic status","Both sexes","Emigrants: All destinations","Thousand","6.8"
"Estimated Migration Aged 15 Years and Over (Persons in April)","2016","Other economic status","Both sexes","Immigrants: All origins","Thousand","8.2"
"Estimated Migration Aged 15 Years and Over (Persons in April)","2016","Other economic status","Male","Net migration","Thousand","1.2"
"Estimated Migration Aged 15 Years and Over (Persons in April)","2016","Other economic status","Male","Emigrants: All destinations","Thousand","1.3"
"Estimated Migration Aged 15 Years and Over (Persons in April)","2016","Other economic status","Male","Immigrants: All origins","Thousand","2.5"
"Estimated Migration Aged 15 Years and Over (Persons in April)","2016","Other economic status","Female","Net migration","Thousand","0.2"
"Estimated Migration Aged 15 Years and Over (Persons in April)","2016","Other economic status","Female","Emigrants: All destinations","Thousand","5.5"
"Estimated Migration Aged 15 Years and Over (Persons in April)","2016","Other economic status","Female","Immigrants: All origins","Thousand","5.7"
"Estimated Migration Aged 15 Years and Over (Persons in April)","2017","All persons","Both sexes","Net migration","Thousand","19.2"
"Estimated Migration Aged 15 Years and Over (Persons in April)","2017","All persons","Both sexes","Emigrants: All destinations","Thousand","56.6"
"Estimated Migration Aged 15 Years and Over (Persons in April)","2017","All persons","Both sexes","Immigrants: All origins","Thousand","75.8"
"Estimated Migration Aged 15 Years and Over (Persons in April)","2017","All persons","Male","Net migration","Thousand","8.7"
"Estimated Migration Aged 15 Years and Over (Persons in April)","2017","All persons","Male","Emigrants: All destinations","Thousand","30"
"Estimated Migration Aged 15 Years and Over (Persons in April)","2017","All persons","Male","Immigrants: All origins","Thousand","38.6"
"Estimated Migration Aged 15 Years and Over (Persons in April)","2017","All persons","Female","Net migration","Thousand","10.6"
"Estimated Migration Aged 15 Years and Over (Persons in April)","2017","All persons","Female","Emigrants: All destinations","Thousand","26.6"
"Estimated Migration Aged 15 Years and Over (Persons in April)","2017","All persons","Female","Immigrants: All origins","Thousand","37.2"
"Estimated Migration Aged 15 Years and Over (Persons in April)","2017","Persons at work","Both sexes","Net migration","Thousand","15.5"
"Estimated Migration Aged 15 Years and Over (Persons in April)","2017","Persons at work","Both sexes","Emigrants: All destinations","Thousand","26.6"
"Estimated Migration Aged 15 Years and Over (Persons in April)","2017","Persons at work","Both sexes","Immigrants: All origins","Thousand","42.1"
"Estimated Migration Aged 15 Years and Over (Persons in April)","2017","Persons at work","Male","Net migration","Thousand","8.3"
"Estimated Migration Aged 15 Years and Over (Persons in April)","2017","Persons at work","Male","Emigrants: All destinations","Thousand","15.6"
"Estimated Migration Aged 15 Years and Over (Persons in April)","2017","Persons at work","Male","Immigrants: All origins","Thousand","23.8"
"Estimated Migration Aged 15 Years and Over (Persons in April)","2017","Persons at work","Female","Net migration","Thousand","7.2"
"Estimated Migration Aged 15 Years and Over (Persons in April)","2017","Persons at work","Female","Emigrants: All destinations","Thousand","11.1"
"Estimated Migration Aged 15 Years and Over (Persons in April)","2017","Persons at work","Female","Immigrants: All origins","Thousand","18.3"
"Estimated Migration Aged 15 Years and Over (Persons in April)","2017","All unemployed persons","Both sexes","Net migration","Thousand","0"
"Estimated Migration Aged 15 Years and Over (Persons in April)","2017","All unemployed persons","Both sexes","Emigrants: All destinations","Thousand","5.7"
"Estimated Migration Aged 15 Years and Over (Persons in April)","2017","All unemployed persons","Both sexes","Immigrants: All origins","Thousand","5.7"
"Estimated Migration Aged 15 Years and Over (Persons in April)","2017","All unemployed persons","Male","Net migration","Thousand","-0.1"
"Estimated Migration Aged 15 Years and Over (Persons in April)","2017","All unemployed persons","Male","Emigrants: All destinations","Thousand","4.1"
"Estimated Migration Aged 15 Years and Over (Persons in April)","2017","All unemployed persons","Male","Immigrants: All origins","Thousand","4"
"Estimated Migration Aged 15 Years and Over (Persons in April)","2017","All unemployed persons","Female","Net migration","Thousand","0.1"
"Estimated Migration Aged 15 Years and Over (Persons in April)","2017","All unemployed persons","Female","Emigrants: All destinations","Thousand","1.6"
"Estimated Migration Aged 15 Years and Over (Persons in April)","2017","All unemployed persons","Female","Immigrants: All origins","Thousand","1.7"
"Estimated Migration Aged 15 Years and Over (Persons in April)","2017","Student or pupil","Both sexes","Net migration","Thousand","-3.2"
"Estimated Migration Aged 15 Years and Over (Persons in April)","2017","Student or pupil","Both sexes","Emigrants: All destinations","Thousand","18.6"
"Estimated Migration Aged 15 Years and Over (Persons in April)","2017","Student or pupil","Both sexes","Immigrants: All origins","Thousand","15.4"
"Estimated Migration Aged 15 Years and Over (Persons in April)","2017","Student or pupil","Male","Net migration","Thousand","1"
"Estimated Migration Aged 15 Years and Over (Persons in April)","2017","Student or pupil","Male","Emigrants: All destinations","Thousand","7.6"
"Estimated Migration Aged 15 Years and Over (Persons in April)","2017","Student or pupil","Male","Immigrants: All origins","Thousand","8.6"
"Estimated Migration Aged 15 Years and Over (Persons in April)","2017","Student or pupil","Female","Net migration","Thousand","-4.2"
"Estimated Migration Aged 15 Years and Over (Persons in April)","2017","Student or pupil","Female","Emigrants: All destinations","Thousand","11"
"Estimated Migration Aged 15 Years and Over (Persons in April)","2017","Student or pupil","Female","Immigrants: All origins","Thousand","6.8"
"Estimated Migration Aged 15 Years and Over (Persons in April)","2017","Other economic status","Both sexes","Net migration","Thousand","6.9"
"Estimated Migration Aged 15 Years and Over (Persons in April)","2017","Other economic status","Both sexes","Emigrants: All destinations","Thousand","5.6"
"Estimated Migration Aged 15 Years and Over (Persons in April)","2017","Other economic status","Both sexes","Immigrants: All origins","Thousand","12.5"
"Estimated Migration Aged 15 Years and Over (Persons in April)","2017","Other economic status","Male","Net migration","Thousand","-0.5"
"Estimated Migration Aged 15 Years and Over (Persons in April)","2017","Other economic status","Male","Emigrants: All destinations","Thousand","2.6"
"Estimated Migration Aged 15 Years and Over (Persons in April)","2017","Other economic status","Male","Immigrants: All origins","Thousand","2.1"
"Estimated Migration Aged 15 Years and Over (Persons in April)","2017","Other economic status","Female","Net migration","Thousand","7.4"
"Estimated Migration Aged 15 Years and Over (Persons in April)","2017","Other economic status","Female","Emigrants: All destinations","Thousand","3"
"Estimated Migration Aged 15 Years and Over (Persons in April)","2017","Other economic status","Female","Immigrants: All origins","Thousand","10.4"
"Estimated Migration Aged 15 Years and Over (Persons in April)","2018","All persons","Both sexes","Net migration","Thousand","29.8"
"Estimated Migration Aged 15 Years and Over (Persons in April)","2018","All persons","Both sexes","Emigrants: All destinations","Thousand","50"
"Estimated Migration Aged 15 Years and Over (Persons in April)","2018","All persons","Both sexes","Immigrants: All origins","Thousand","79.8"
"Estimated Migration Aged 15 Years and Over (Persons in April)","2018","All persons","Male","Net migration","Thousand","15.6"
"Estimated Migration Aged 15 Years and Over (Persons in April)","2018","All persons","Male","Emigrants: All destinations","Thousand","23.6"
"Estimated Migration Aged 15 Years and Over (Persons in April)","2018","All persons","Male","Immigrants: All origins","Thousand","39.1"
"Estimated Migration Aged 15 Years and Over (Persons in April)","2018","All persons","Female","Net migration","Thousand","14.2"
"Estimated Migration Aged 15 Years and Over (Persons in April)","2018","All persons","Female","Emigrants: All destinations","Thousand","26.4"
"Estimated Migration Aged 15 Years and Over (Persons in April)","2018","All persons","Female","Immigrants: All origins","Thousand","40.7"
"Estimated Migration Aged 15 Years and Over (Persons in April)","2018","Persons at work","Both sexes","Net migration","Thousand","20.8"
"Estimated Migration Aged 15 Years and Over (Persons in April)","2018","Persons at work","Both sexes","Emigrants: All destinations","Thousand","27.9"
"Estimated Migration Aged 15 Years and Over (Persons in April)","2018","Persons at work","Both sexes","Immigrants: All origins","Thousand","48.7"
"Estimated Migration Aged 15 Years and Over (Persons in April)","2018","Persons at work","Male","Net migration","Thousand","15"
"Estimated Migration Aged 15 Years and Over (Persons in April)","2018","Persons at work","Male","Emigrants: All destinations","Thousand","13.3"
"Estimated Migration Aged 15 Years and Over (Persons in April)","2018","Persons at work","Male","Immigrants: All origins","Thousand","28.3"
"Estimated Migration Aged 15 Years and Over (Persons in April)","2018","Persons at work","Female","Net migration","Thousand","5.7"
"Estimated Migration Aged 15 Years and Over (Persons in April)","2018","Persons at work","Female","Emigrants: All destinations","Thousand","14.6"
"Estimated Migration Aged 15 Years and Over (Persons in April)","2018","Persons at work","Female","Immigrants: All origins","Thousand","20.4"
"Estimated Migration Aged 15 Years and Over (Persons in April)","2018","All unemployed persons","Both sexes","Net migration","Thousand","2.5"
"Estimated Migration Aged 15 Years and Over (Persons in April)","2018","All unemployed persons","Both sexes","Emigrants: All destinations","Thousand","6.5"
"Estimated Migration Aged 15 Years and Over (Persons in April)","2018","All unemployed persons","Both sexes","Immigrants: All origins","Thousand","9"
"Estimated Migration Aged 15 Years and Over (Persons in April)","2018","All unemployed persons","Male","Net migration","Thousand","0.6"
"Estimated Migration Aged 15 Years and Over (Persons in April)","2018","All unemployed persons","Male","Emigrants: All destinations","Thousand","4.2"
"Estimated Migration Aged 15 Years and Over (Persons in April)","2018","All unemployed persons","Male","Immigrants: All origins","Thousand","4.9"
"Estimated Migration Aged 15 Years and Over (Persons in April)","2018","All unemployed persons","Female","Net migration","Thousand","1.9"
"Estimated Migration Aged 15 Years and Over (Persons in April)","2018","All unemployed persons","Female","Emigrants: All destinations","Thousand","2.3"
"Estimated Migration Aged 15 Years and Over (Persons in April)","2018","All unemployed persons","Female","Immigrants: All origins","Thousand","4.2"
"Estimated Migration Aged 15 Years and Over (Persons in April)","2018","Student or pupil","Both sexes","Net migration","Thousand","-0.1"
"Estimated Migration Aged 15 Years and Over (Persons in April)","2018","Student or pupil","Both sexes","Emigrants: All destinations","Thousand","9.4"
"Estimated Migration Aged 15 Years and Over (Persons in April)","2018","Student or pupil","Both sexes","Immigrants: All origins","Thousand","9.3"
"Estimated Migration Aged 15 Years and Over (Persons in April)","2018","Student or pupil","Male","Net migration","Thousand","-1.2"
"Estimated Migration Aged 15 Years and Over (Persons in April)","2018","Student or pupil","Male","Emigrants: All destinations","Thousand","3.6"
"Estimated Migration Aged 15 Years and Over (Persons in April)","2018","Student or pupil","Male","Immigrants: All origins","Thousand","2.4"
"Estimated Migration Aged 15 Years and Over (Persons in April)","2018","Student or pupil","Female","Net migration","Thousand","1.1"
"Estimated Migration Aged 15 Years and Over (Persons in April)","2018","Student or pupil","Female","Emigrants: All destinations","Thousand","5.8"
"Estimated Migration Aged 15 Years and Over (Persons in April)","2018","Student or pupil","Female","Immigrants: All origins","Thousand","6.9"
"Estimated Migration Aged 15 Years and Over (Persons in April)","2018","Other economic status","Both sexes","Net migration","Thousand","6.6"
"Estimated Migration Aged 15 Years and Over (Persons in April)","2018","Other economic status","Both sexes","Emigrants: All destinations","Thousand","6.2"
"Estimated Migration Aged 15 Years and Over (Persons in April)","2018","Other economic status","Both sexes","Immigrants: All origins","Thousand","12.8"
"Estimated Migration Aged 15 Years and Over (Persons in April)","2018","Other economic status","Male","Net migration","Thousand","1.1"
"Estimated Migration Aged 15 Years and Over (Persons in April)","2018","Other economic status","Male","Emigrants: All destinations","Thousand","2.4"
"Estimated Migration Aged 15 Years and Over (Persons in April)","2018","Other economic status","Male","Immigrants: All origins","Thousand","3.5"
"Estimated Migration Aged 15 Years and Over (Persons in April)","2018","Other economic status","Female","Net migration","Thousand","5.5"
"Estimated Migration Aged 15 Years and Over (Persons in April)","2018","Other economic status","Female","Emigrants: All destinations","Thousand","3.7"
"Estimated Migration Aged 15 Years and Over (Persons in April)","2018","Other economic status","Female","Immigrants: All origins","Thousand","9.2"
"Estimated Migration Aged 15 Years and Over (Persons in April)","2019","All persons","Both sexes","Net migration","Thousand","30"
"Estimated Migration Aged 15 Years and Over (Persons in April)","2019","All persons","Both sexes","Emigrants: All destinations","Thousand","49.2"
"Estimated Migration Aged 15 Years and Over (Persons in April)","2019","All persons","Both sexes","Immigrants: All origins","Thousand","79.2"
"Estimated Migration Aged 15 Years and Over (Persons in April)","2019","All persons","Male","Net migration","Thousand","14.2"
"Estimated Migration Aged 15 Years and Over (Persons in April)","2019","All persons","Male","Emigrants: All destinations","Thousand","25.4"
"Estimated Migration Aged 15 Years and Over (Persons in April)","2019","All persons","Male","Immigrants: All origins","Thousand","39.6"
"Estimated Migration Aged 15 Years and Over (Persons in April)","2019","All persons","Female","Net migration","Thousand","15.8"
"Estimated Migration Aged 15 Years and Over (Persons in April)","2019","All persons","Female","Emigrants: All destinations","Thousand","23.8"
"Estimated Migration Aged 15 Years and Over (Persons in April)","2019","All persons","Female","Immigrants: All origins","Thousand","39.6"
"Estimated Migration Aged 15 Years and Over (Persons in April)","2019","Persons at work","Both sexes","Net migration","Thousand","18.3"
"Estimated Migration Aged 15 Years and Over (Persons in April)","2019","Persons at work","Both sexes","Emigrants: All destinations","Thousand","29.7"
"Estimated Migration Aged 15 Years and Over (Persons in April)","2019","Persons at work","Both sexes","Immigrants: All origins","Thousand","48"
"Estimated Migration Aged 15 Years and Over (Persons in April)","2019","Persons at work","Male","Net migration","Thousand","12.4"
"Estimated Migration Aged 15 Years and Over (Persons in April)","2019","Persons at work","Male","Emigrants: All destinations","Thousand","16.6"
"Estimated Migration Aged 15 Years and Over (Persons in April)","2019","Persons at work","Male","Immigrants: All origins","Thousand","29.1"
"Estimated Migration Aged 15 Years and Over (Persons in April)","2019","Persons at work","Female","Net migration","Thousand","5.9"
"Estimated Migration Aged 15 Years and Over (Persons in April)","2019","Persons at work","Female","Emigrants: All destinations","Thousand","13"
"Estimated Migration Aged 15 Years and Over (Persons in April)","2019","Persons at work","Female","Immigrants: All origins","Thousand","18.9"
"Estimated Migration Aged 15 Years and Over (Persons in April)","2019","All unemployed persons","Both sexes","Net migration","Thousand","3.2"
"Estimated Migration Aged 15 Years and Over (Persons in April)","2019","All unemployed persons","Both sexes","Emigrants: All destinations","Thousand","3.2"
"Estimated Migration Aged 15 Years and Over (Persons in April)","2019","All unemployed persons","Both sexes","Immigrants: All origins","Thousand","6.4"
"Estimated Migration Aged 15 Years and Over (Persons in April)","2019","All unemployed persons","Male","Net migration","Thousand","0.5"
"Estimated Migration Aged 15 Years and Over (Persons in April)","2019","All unemployed persons","Male","Emigrants: All destinations","Thousand","2"
